0.000465,0.000284,0.000246,0.000249,0.000155,0.000306,0.000264,0.000226,0.000258,0.000246
0.000284,0.000684,0.000411,0.000332,0.000305,0.000321,0.000396,0.000353,0.000409,0.000336
0.000246,0.000411,0.000562,0.000320,0.000244,0.000300,0.000304,0.000316,0.000363,0.000317
0.000249,0.000332,0.000320,0.000511,0.000216,0.000303,0.000280,0.000256,0.000327,0.000290
0.000155,0.000305,0.000244,0.000216,0.000458,0.000179,0.000335,0.000279,0.000274,0.000211
0.000306,0.000321,0.000300,0.000303,0.000179,0.000531,0.000279,0.000277,0.000338,0.000271
0.000264,0.000396,0.000304,0.000280,0.000335,0.000279,0.000679,0.000411,0.000353,0.000349
0.000226,0.000353,0.000316,0.000256,0.000279,0.000277,0.000411,0.000610,0.000369,0.000344
0.000258,0.000409,0.000363,0.000327,0.000274,0.000338,0.000353,0.000369,0.000637,0.000277
0.000246,0.000336,0.000317,0.000290,0.000211,0.000271,0.000349,0.000344,0.000277,0.000579
